source_id,original_url,final_url,detected_type,http_status,content_type,fetch_method,local_raw_path,local_clean_path,sha256,fetched_at,extraction_status,text_length,page_count,error
SRC_ADM_001,https://www.uni.lu/en/admissions/bachelor-master/,https://www.uni.lu/en/admissions/bachelor-master/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_001.html,data/cleaned/html/SRC_ADM_001.md,5945b926b28e25810b143abc755c92fd17969344d4a011adfd235bee34e5ea0d,2026-07-21T15:43:04+00:00,extraction_ok,9347,,
SRC_OFFICIAL_002,https://www.uni.lu/wp-content/uploads/sites/11/2024/10/Reglement-des-etudes-du-24-septembre-2024_fr.pdf,https://www.uni.lu/wp-content/uploads/sites/11/2024/10/Reglement-des-etudes-du-24-septembre-2024_fr.pdf,pdf,200,application/pdf,requests,data/raw/pdf/SRC_OFFICIAL_002.pdf,data/cleaned/pdf/SRC_OFFICIAL_002.md,b3c2505d1fee925de6f60d3560064b311810efbea2aef39ccea038cc8ee351fa,2026-07-21T15:43:06+00:00,extraction_ok,145699,36,
SRC_ADM_002,https://www.uni.lu/en/admissions/admission-criteria/,https://www.uni.lu/en/admissions/admission-criteria/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_002.html,data/cleaned/html/SRC_ADM_002.md,2a055383d0ddb5c18c03dcd0f0542f47faeed4759483f0cf38474f9604d5be23,2026-07-21T15:44:44+00:00,extraction_ok,11392,,
SRC_ADM_003,https://www.uni.lu/en/admissions/bachelor-master/required-documents/,https://www.uni.lu/en/admissions/bachelor-master/required-documents/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_003.html,data/cleaned/html/SRC_ADM_003.md,a28d7e7d7d72009457316ad93d6189cf7c97d00fec9166c8f5b222457eca1d8a,2026-07-21T15:44:46+00:00,extraction_ok,3308,,
SRC_ADM_004,https://www.uni.lu/en/admissions/proof-of-language-skills/,https://www.uni.lu/en/admissions/proof-of-language-skills/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_004.html,data/cleaned/html/SRC_ADM_004.md,9ebfc0ba7b11e45c5a585df3dc3d2cc5e732e17bf3b69be302dab9b4762b3121,2026-07-21T15:44:48+00:00,extraction_ok,7943,,
SRC_ADM_005,https://www.uni.lu/en/admissions/diploma-recognition/application-for-bachelors-programmes/,https://www.uni.lu/en/error-404/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_005.html,data/cleaned/html/SRC_ADM_005.md,a35b2ac95c51f38be4efcb8a0a7b8569be66f7a810545bdde0c55ef4861b84d2,2026-07-21T15:44:51+00:00,extraction_ok,630,,
SRC_ADM_006,https://www.uni.lu/en/admissions/recognition-of-prior-experience/,https://www.uni.lu/en/admissions/recognition-of-prior-experience/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_006.html,data/cleaned/html/SRC_ADM_006.md,fd90507c3fdc06e236fb44f2957d1655ca3d19641407ddd6b03e0c275400e22b,2026-07-21T15:44:53+00:00,extraction_ok,5870,,
SRC_ADM_007,https://www.uni.lu/en/about/organisation/faculties-departments/,https://www.uni.lu/en/about/organisation/faculties-departments/,html,200,text/html; charset=UTF-8,requests,data/raw/html/SRC_ADM_007.html,data/cleaned/html/SRC_ADM_007.md,1df04653914b8456ae79e9a171e09bb1f7f010311a54fd4972ebccf004756973,2026-07-21T15:44:55+00:00,extraction_ok,1415,,
SRC_EXT_DIP_001,https://guichet.public.lu/en/citoyens/travail/recherche-emploi/documents-utiles-candidature/reconnaissance-bac-maturite.html,https://guichet.public.lu/en/citoyens/travail/recherche-emploi/documents-utiles-candidature/reconnaissance-bac-maturite.html,html,200,text/html; charset=utf-8,requests,data/raw/html/SRC_EXT_DIP_001.html,data/cleaned/html/SRC_EXT_DIP_001.md,6a3c926707db5e95543d4762681eefea25b7af474e0f92e010732baab3596d84,2026-07-21T15:44:58+00:00,extraction_ok,17943,,
SRC_EXT_DIP_002,https://guichet.public.lu/en/citoyens/famille-education/etudes-superieures/reconnaissance-diplomes/inscription-registre-titres.html,https://guichet.public.lu/en/citoyens/famille-education/etudes-superieures/reconnaissance-diplomes/inscription-registre-titres.html,html,200,text/html; charset=utf-8,requests,data/raw/html/SRC_EXT_DIP_002.html,data/cleaned/html/SRC_EXT_DIP_002.md,fd2736ff1db750b20b807456f4e9bb8ba1ed36ef35f1de09a5c33cb2f08e1ddd,2026-07-21T15:44:59+00:00,extraction_ok,8715,,
